aior,aaew@ad.das123,0123123123,03/03/2003,abc,0,41
aaaaaaaaaaaaaaa,ane@ad.dasxxs1,0123123123,03/03/2003,abc,1,42
aaaaaaaaaaaaaaa,email,1234567890123456,03/03/20000,ahYQwdSjkgLrFAbdXzGkrUj19JZ1ESz5m1ygrNJ2he3Xpudyfka,1,44
aior,aaew@ad.dasxx2,0123123123,03/03/2003,ahYQwdSjkgLrFAbdXzGkrUj19JZ1ESz5m1ygrNJ2he3Xpudyfka,0,43
aior,email,0123123123,03/03/2003,abc,0,42
aior,aaew@ad.dasxx3,0123123123,03/03/20000,abc,0,42
aior,aaew@ad.dasxx4,1234567890123456,03/03/2003,abc,0,42
aaaaaaaaaaaaaaa,email,0123123123,03/03/2003,abc,0,42
aaaaaaaaaaaaaaa,email,1234567890123456,03/03/20000,abc,0,42
aior,aaew@ad.dasxx5,0123123123,03/03/20000,ahYQwdSjkgLrFAbdXzGkrUj19JZ1ESz5m1ygrNJ2he3Xpudyfka,0,42
aior,email,1234567890123456,03/03/2003,abc,0,42
aior,aaew@ad.dasxx6,1234567890123456,03/03/20000,abc,1,42
aior,email,1234567890123456,03/03/20000,ahYQwdSjkgLrFAbdXzGkrUj19JZ1ESz5m1ygrNJ2he3Xpudyfka,1,42
aior,aaew@ad.dasxx7,1234567890123456,03/03/20000,ahYQwdSjkgLrFAbdXzGkrUj19JZ1ESz5m1ygrNJ2he3Xpudyfka,1,42
aior,email,1234567890123456,03/03/20000,abc,0,42
aaaaaaaaaaaaaaa,email,1234567890123456,03/03/2003,abc,0,42
aior,aasdfw@ad.dasxx8,0123123123,03/03/2003,abc,null,42
aior,dd@ad.dasxx9,0123123123,03/03/2003,null,1,42
aior,aaew@ad.dasxx10,0123123123,null,abc,1,42
aior,aaew@ad.dasxx11,null,03/03/2003,abc,1,42
aior,null,0123123123,03/03/2003,abc,1,42
null,aaew@ad.dasxx12,0123123123,03/03/2003,abc,1,42
aior,asew@ad.dasxx13,0123123123,03/03/2003,null,null,42
null,null,null,null,null,null,42
aior,3@s.faaaaa,0123123123,03/03/2003,abc,1,42
